#Frame        chi1:41      chi2:41
     802     -71.8091     100.2825
     803     -81.0490     100.0001
     804     -74.8476      94.3979
     805     -75.6311     105.0968
     806     -78.9711      82.8885
     807     -88.3174      79.1683
     808     -74.3471     100.8844
     809     -65.5528     118.6417
     810     -65.9593     105.2382
     811     -67.2949      89.7833
     812     -74.7874      97.9917
     813     -69.1801     107.8382
     814     -86.4381      86.3250
     815     -86.4247      95.3000
     816     -79.6688      91.8246
     817     -73.9469      89.3633
     818     -62.5531      97.6533
     819     -68.6799     103.3894
     820     -66.1368      88.0430
     821     -73.6585      95.4041
     822     -80.2255     102.8862
     823     -77.0777     104.8773
     824     -63.8980     113.1246
     825     -62.0826     101.6872
     826     -79.2898      96.1857
     827     -62.1336      87.1773
     828     -83.1028     116.4144
     829     -76.9507      91.6234
     830     -67.0841     103.5309
     831     -65.4536      94.8899
     832     -66.0938      76.2518
     833     -68.1819      88.7833
     834     -62.5547      84.5004
     835     -72.6975     102.2081
     836     -86.9647      92.2681
     837     -82.2991     112.7287
     838     -68.1363     109.4415
     839     -75.3686     121.2871
     840     -75.4606     101.8330
     841     -71.4592     102.1792
     842     -85.9808     113.0395
     843     -60.0879      95.6376
     844     -68.7353      88.4692
     845     -72.1620     110.1858
     846     -52.6417      85.6429
     847     -70.1510      85.4163
     848     -82.7305     114.5555
     849     -78.2497     101.1332
     850     -72.9371      75.9233
     851     -74.4025     108.3698
     852     -71.8999      77.9839
     853     -76.8353      87.2455
     854     -82.7971      92.6139
     855     -75.2925     110.2035
     856     -71.6013     105.3485
     857     -75.1177     107.5622
     858     -55.1026     106.6732
     859     -65.9888     100.7204
     860     -68.1559      82.7641
     861     -68.2781      85.2340
     862     -79.1296      96.2205
     863     -67.6558      88.0457
     864     -64.4475      98.4003
     865     -78.8083     102.9426
     866     -68.1087      98.7865
     867     -71.9296      93.4815
     868     -54.8739      91.1318
     869     -62.8743     103.9337
     870     -55.6398      86.6844
     871     -77.3953      85.5186
     872     -78.5051      84.5824
     873     -66.8778     101.8897
     874     -79.5990      89.3144
     875     -60.4009      97.1102
     876     -68.8079      92.7892
     877     -71.5117      87.5846
     878     -58.3118      95.7409
     879     -57.1767      97.8778
     880     -92.4802      84.9427
     881     -72.2166      90.1322
     882     -59.7923      93.0261
     883     -65.5153     105.7568
     884     -73.2818     104.6718
     885     -67.1266      92.0973
     886     -67.6255     110.3968
     887     -80.1146     106.4429
     888     -71.4747     112.8309
     889     -73.1859      97.7676
     890     -77.1058      94.1121
     891     -67.0227      96.2837
     892     -69.0266     105.3051
     893     -67.2400      96.2825
     894     -73.1262     104.3746
