#Frame        chi1:32      chi2:32      chi3:32
     355    -163.2335      51.7055    -110.5889
     356     -90.9986     -61.1475     -23.2414
     357    -176.6467      51.8951     -86.1945
     358    -179.9037      57.2950    -101.5988
     359    -178.6890      48.2019     -99.1138
     360    -171.7754      25.4700     -81.8129
     361    -179.8734      71.2279    -104.3057
     362     171.9307      57.5807     -90.7952
     363    -173.0974      71.7934    -137.2128
     364    -162.3594      44.4663    -110.7097
     365     -58.5899     -70.9059     -26.3002
     366    -169.6740      47.6246     -84.7215
     367    -174.2994      75.0794     -98.4699
     368    -165.0645      40.5125     -76.8738
     369    -171.5565      59.5634     -94.0710
     370     179.3903      70.1346     -86.5744
     371    -170.7622      53.6067     -91.8905
     372    -173.8090      68.6914    -120.1087
     373    -176.4546      67.9983    -112.4478
     374    -177.1506      55.0851     -98.8722
     375    -170.6673      40.6423    -113.0540
     376     -62.7215     -67.7416      -4.3414
     377     -63.7684     -64.6541     -13.2029
     378    -174.9867      64.9673    -127.5667
     379    -179.8566      67.5148    -100.5007
     380    -162.2693      58.5810    -121.2101
     381    -164.8894      56.9208    -134.6055
     382    -173.1708      56.1479    -128.9688
     383    -110.9052     -53.7461     -27.9430
     384    -159.1175      43.0228     -80.1396
     385    -168.1270      50.8210    -103.4966
     386    -177.3332      53.7477    -103.2539
     387    -176.1458      74.4686    -146.5419
     388     175.5121      48.6104    -108.5776
     389    -173.9711      59.1241    -103.4655
     390    -176.7724      46.1619    -102.5741
     391     176.3214      64.9989     -95.4735
     392     -85.1732     -69.6218      -1.7508
     393     177.5779      55.1957     -79.3848
     394    -177.7849      64.8188     -79.4551
     395    -174.2704      32.3987    -105.9535
     396    -175.8506      48.0189     -76.5750
     397    -163.7353      32.9380     -77.9181
     398    -177.6636      49.7781      94.6590
     399     172.8472      60.3007      81.6667
     400    -176.4271      58.4076      71.1854
     401    -166.1760      67.7070      64.0921
     402    -164.6320      38.8547      95.2713
     403    -173.0677      51.3299      73.6602
     404     -94.1609     -77.3878     174.2341
     405    -175.4076      67.9932      59.9204
     406    -168.3349      52.9754      73.8171
     407     -95.4626     -72.2492    -172.1982
     408     -66.2184     -83.5867     175.0386
     409     -70.1426     -66.8497     178.6943
     410    -157.5688      33.1119     103.6688
     411    -173.0535      55.6093      50.1373
     412     166.8431      68.1193      65.3035
     413     168.6111      63.7130      87.5479
     414    -172.9546      48.1781      91.5563
     415    -164.2765      49.6429      73.6258
     416    -163.2749      47.6479      71.0149
     417    -176.5692      59.3652      95.4902
     418    -169.7669      54.5585      88.3910
     419     170.9154      65.8611      91.5010
     420     176.1855      62.0592      74.9068
     421    -170.7948      55.8530      78.0762
     422     178.5208      58.6974      60.1270
     423    -161.7951      38.2327      96.3502
     424    -178.4586      59.4654      60.8584
     425     -76.8794     -82.5470    -178.9718
     426    -169.1789      51.6756      69.9039
     427     178.0124      55.3218      79.3353
     428     176.9729      57.6887      72.3446
     429    -171.5450      51.2240      76.4085
     430     -84.8424     -81.2346    -177.2919
     431     170.0278      65.8040      87.6269
     432    -179.8322      49.4315      82.4232
     433    -163.2590      38.1503      63.3533
     434    -166.3648      48.6327      64.5695
     435     -78.5592     -59.7736     151.9930
     436     178.2178      76.7666      58.4705
     437    -172.3691      53.3788      76.7513
     438    -176.8360      56.9959      28.4259
     439    -169.1230      41.9164      84.0352
     440    -178.8540      47.9572     112.3406
     441    -157.6889      46.5874      97.0816
     442     178.1929      58.7143      65.2028
     443    -178.7347      56.5830      76.3087
     444     178.3414      64.9860      76.1366
     445    -179.2539      61.7730      77.3864
     446    -168.0813      54.1923      91.2112
     447    -176.4896      51.4819      97.7445
     448    -176.5281      60.3129      92.0006
     449    -166.7873      55.6780      64.7684
     450    -171.6485      56.0510      60.9869
     451    -176.9781      58.2128      63.4603
     452    -171.8629      54.9001      89.3095
     453     177.8516      62.6322      88.2956
     454    -165.4396      47.0887      80.9411
     455    -165.5089      52.5467      77.8615
     456    -161.1363      32.3396      86.6919
     457    -176.0559      43.7715      94.2771
     458     -82.7191     -69.2804     173.4989
     459     176.4815      54.1725      24.0399
     460    -174.2505      46.8942     -82.4412
     461    -169.2362      51.5291    -104.5870
     462     179.4726      49.5298    -133.8160
     463    -175.7889      45.6658      78.6345
     464    -176.9646      55.9349      65.6388
     465    -166.9862      47.7333      83.2702
     466    -166.5780      36.0082      83.8117
     467    -171.7766      44.1531      62.6438
     468    -177.0557      59.3416      78.9496
     469     171.6994      62.1896      84.4686
     470     175.0965      54.6103      70.5259
     471     -96.0469     -49.1177     134.1849
     472    -174.0788      48.4729      53.2203
     473    -157.0094      36.2293      98.9770
     474     -79.2457     -80.1931     160.0896
     475    -158.9522      44.5357     -94.0692
     476    -177.5995      67.6984     -79.5741
     477    -179.3624      60.5370    -118.5395
     478    -159.5364      40.7654      78.4875
     479     177.9751      73.8181      82.0764
     480    -162.8655      55.8626      59.2606
     481     178.8982      60.2350      74.0132
     482    -172.3594      59.2954      80.5459
     483    -174.0807      52.6231      60.8677
     484     179.5820      58.2621      67.3621
     485    -167.0819      48.9717      90.0504
     486    -179.2675      61.0728      84.7418
     487    -171.7361      48.3879      89.7537
     488     -95.8995     -55.3946     146.3108
     489    -169.4058      51.7540      94.0083
     490    -170.5209      50.2872      89.6247
     491    -171.3546      52.5357      70.9905
     492    -174.8808      58.6108      82.6537
     493    -170.6040      47.1407      84.5158
     494    -179.8464      51.6778      76.5305
     495    -169.3413      53.6109      90.2976
     496    -174.6450      40.1140      77.2034
     497    -177.0769      58.3000     104.9134
     498    -178.9152      59.0094      69.4986
     499    -162.3432      53.4704      60.5633
     500    -164.7922      46.9311      58.0101
     501     174.4175      69.9882      68.9678
     502    -176.1289      56.8677      80.1097
     503    -173.8096      66.5953      81.4991
     504    -169.2509      45.0056     102.1987
     505     -86.0464     -47.7347     128.0403
     506    -169.5928      48.0138      89.1160
     507    -172.3845      74.5670      64.2924
     508    -178.9881      43.7252      50.7072
     509    -165.2421      72.4406      67.8637
     510     179.4875      52.0635      86.5502
     511    -172.1628      54.3500      66.6919
     512    -175.2968      39.2846      49.4065
     513    -175.1476      48.4466     111.5646
     514    -173.1614      48.2389      94.2817
     515     177.5219      58.0048      77.5080
     516     176.1094      66.6575      92.4686
     517    -178.6277      54.4837      70.3866
     518    -177.6288      64.8256      50.0064
     519     178.1731      55.5249      70.2463
     520    -173.0704      55.1837      93.2454
     521     177.3145      52.9461      72.0463
     522    -172.1523      39.7203      72.6985
     523     -72.1856     -82.3629     172.4076
     524    -168.0212      35.8827      60.5503
     525     177.1356      58.2630      65.3942
     526    -169.2351      48.2503      74.2322
     527    -169.0763      64.2506      53.9211
     528    -152.9643      35.0772      73.8282
     529    -165.6926      53.6315      82.6407
     530     -77.3474     -63.3138     162.4966
     531     -76.2553     -56.6242     140.0585
     532    -165.4047      35.0026      85.1587
     533    -172.2481      43.2273      64.9831
     534    -172.6153      54.0040      58.5434
     535    -164.3506      48.8997      85.0223
     536    -172.8441      48.6077      69.5672
     537     -51.9654     -84.9985    -147.7054
     538    -159.8803      54.7894    -104.0100
     539    -179.0407      75.0117      93.3884
     540    -161.9233      36.7159      85.5038
     541     -63.7443     -79.0003    -167.5913
     542    -172.5214      53.3840      81.3710
     543    -177.7167      42.2685      73.1536
     544    -169.2504      45.2911      88.4393
     545    -177.3071      49.0916      99.7216
     546     177.7184      72.9663      76.4055
     547    -177.1059      56.0605      47.0373
     548    -165.9222      46.6515      98.2622
     549    -166.5400      51.2336      79.3923
     550    -176.2739      54.7138     100.3887
     551     -79.8526     -56.7761     160.2863
     552     -68.8563     -79.2126     159.6090
     553    -170.1932      52.1793      55.7909
     554     176.6733      66.0918      65.1543
     555     -66.5042     -75.6867     170.6458
     556    -160.9746      43.8824      78.9754
     557     179.4098      63.0752      55.7766
     558     176.2441      60.1575      66.1113
     559     176.5155      51.1048      68.0386
     560    -178.4435      61.4695    -109.8172
     561    -172.5194      50.2247     -99.8650
     562     -89.0192     -60.8395      -9.7301
     563    -179.1474      48.5817    -114.2153
     564     -73.4066     -64.0434     -10.4178
     565    -175.5984      59.0973    -128.5182
     566    -165.7016      29.2918      84.4643
     567     178.9569      52.5788      62.9468
     568     -79.0036     -60.4253     173.2486
     569    -102.9768     -32.5614     137.2631
     570     -90.3563     -64.5980     148.8653
     571    -168.3125      47.8251     113.6323
     572     166.5233      59.0103      55.7681
     573    -158.5295      33.0831      88.9541
     574    -175.8004      37.1525      83.3852
     575    -174.3751      51.7617      70.2669
     576     177.9446      51.0102      67.5726
     577     -73.6602     -60.5708     130.0403
     578    -171.2014      58.5296      49.8755
     579    -168.2485      32.5788      77.8744
     580    -170.6399      51.1194      80.2802
     581     177.8016      53.6257      67.5367
     582    -169.0540      42.2389      50.6923
     583    -176.6718      50.4386      63.6347
     584    -163.7235      42.4866      49.8428
     585    -161.6051      42.0426      69.8864
     586    -166.5113      49.7996      66.7172
     587    -177.3200      69.9873      67.5341
     588    -168.1279      51.0082      83.1890
     589    -174.8674      58.8830      58.8090
     590     178.8843      49.5508      83.6603
     591    -157.6667      34.0067      87.2517
     592    -173.8378      54.4912      78.5689
     593    -174.0995      57.8088      67.3272
     594     176.2570      65.9051      63.5176
     595    -178.7068      51.9046      82.7134
     596    -170.8398      54.0027      91.3137
     597    -163.8039      55.7632      78.2900
     598    -166.9098      54.9541      83.2016
     599    -173.8349      41.1518      96.9553
     600    -165.7246      51.4440      91.9353
     601    -177.4971      50.4089      77.8126
     602    -175.9183      79.3109      72.8014
     603     179.8415      59.5029      57.0305
     604    -166.8180      43.0384      76.8347
     605     173.1581      70.0009      87.0205
     606    -168.1579      34.1368      98.2254
     607    -176.1374      51.1005      75.9166
     608     -84.2490     -52.3053     140.6638
     609    -156.0022      40.0515      77.0502
     610    -179.8890      60.9237      85.2752
     611     178.8190      48.8214     -90.8736
     612    -174.9610      53.5835     -87.5647
     613     -75.2905     -86.3188      12.3583
     614     -99.6827     -50.2370     -32.9763
     615    -175.9540      63.6882     -89.8546
     616    -168.8480      40.5049     -96.2321
     617    -156.0454      41.8740    -114.5795
     618     -88.9782     -60.1682     -20.0919
     619     -77.1845     -61.7275     -38.4561
     620     -63.6232     -59.5946     -35.0321
     621    -171.7936      64.5926    -113.6821
     622    -164.0974      50.2236     -78.2351
     623    -172.8128      57.8268     -81.2305
     624     177.6916      51.2719     -97.1658
     625    -173.9857      65.2501     -92.4217
     626    -165.4914      51.2650     -84.0632
     627    -179.0911      67.5198     -77.4625
