#Frame        chi1:41      chi2:41
     369     -62.9956     104.9313
     370     -64.5272      80.7603
     371     -63.8228      99.3001
     372     -62.7400      98.7366
     373     -74.5343      95.7465
     374     -54.8619      93.4576
     375     -60.8481      97.3178
     376     -63.9157      92.1644
     377     -66.1161      99.3882
     378     -52.3877      94.6373
     379     -65.9526     107.3494
     380     -61.0210      86.1158
     381     -60.1669      97.1580
     382     -66.6651      96.8177
     383     -61.0812      92.0014
     384     -62.2321     105.7106
     385     -65.9564      90.6767
     386     -59.8838     101.3414
     387     -56.2804     104.0673
     388     -64.9130      97.4456
     389     -71.4588      96.4787
     390     -52.6745     102.8144
     391     -50.4942      82.0519
     392     -54.6304      99.8107
     393     -64.2588      98.5838
     394     -59.7169      93.8307
     395     -62.3808      97.1189
     396     -56.2316      94.6176
     397     -51.6689      82.0344
     398     -73.4599      89.8046
     399     -64.0574      88.6216
     400     -64.1472      82.3240
     401     -77.0539      86.3751
     402     -63.0098      97.5417
     403     -64.4884      81.9119
     404     -59.0084      88.7233
     405     -56.2845      88.7021
     406     -56.2944      86.3002
     407     -59.0408      92.6223
     408     -66.4615      90.2469
     409     -57.9964      88.6324
     410     -60.4225     100.1384
     411     -63.7926      96.6913
     412     -66.4545      96.3370
     413     -54.9339      92.5951
     414     -61.1445      94.9282
     415     -59.5087      88.0032
     416     -62.8216      94.5144
     417     -50.7297      77.9818
     418     -69.3186      94.7206
     419     -61.1421      95.9627
     420     -59.3674      83.3563
     421     -65.2029     101.6641
     422     -73.3065     111.6831
     423     -63.2585     105.4861
     424     -71.1385      87.3052
     425     -60.1248      97.4718
     426     -66.0260      83.3286
     427     -64.6695      97.2764
     428     -62.6973      97.9572
     429     -59.9006     108.9761
     430     -56.8138      87.8881
     431     -61.8460     105.6371
     432     -63.1531      91.4523
     433     -71.0476     105.6086
     434     -56.3653      85.4700
     435     -58.5346      79.7867
     436     -61.2451      91.5043
     437     -59.3151      84.3720
     438     -72.6606      96.9056
     439     -61.9723      94.5051
     440     -69.4213     100.9119
     441     -65.3338      88.1446
     442     -47.2573      85.8819
     443     -65.0772      96.7005
     444     -58.4545      91.3565
     445     -54.8846      89.2348
     446     -73.3046      96.7627
     447     -64.7309      89.2453
     448     -64.5259      83.9767
     449     -74.9493      95.7621
     450     -54.7125      77.0857
     451     -63.8718      98.0699
     452     -71.5268      90.5970
     453     -49.7672      88.7611
     454     -79.6077      88.8631
     455     -67.8497     101.6078
     456     -62.2998      94.9406
     457     -64.5261     115.0840
     458     -80.6383     102.6434
     459     -81.9883     114.0454
     460     -64.2069     101.5420
     461     -85.7833     108.4635
     462     -90.3633     125.6960
     463     -85.3351     104.6861
     464     -82.1821      86.5573
     465     -86.2986      89.9376
     466     -82.1392      89.4444
     467     -71.1954     103.5580
     468     -87.9006      89.2724
     469     -76.9799      89.2307
     470     -71.9750      90.9426
     471     -77.3144      87.8941
     472     -71.3419      88.5235
     473     -72.4644     100.7616
     474     -81.3671     108.4331
     475     -83.6842      94.0830
     476     -80.2460      88.1157
     477     -83.8753      97.0711
     478     -67.8686      73.0559
     479     -85.7818      88.3970
     480     -84.8816      79.4605
     481     -78.8374      90.1369
     482     -79.1538      91.9803
     483     -78.5317     106.4973
     484     -76.9113     109.7461
     485     -82.8221     113.3974
     486     -69.8017     114.6612
     487     -87.6094      92.9178
     488     -88.0185     111.8676
     489     -64.6290     106.9131
     490     -78.8633     113.7139
     491     -74.8623     101.1994
     492     -68.0010      93.1951
     493     -84.0776      99.2321
     494     -74.8915      92.1933
     495     -69.0973      84.1640
     496     -72.3755     104.1089
     497     -76.7146      77.7050
     498     -69.5401      80.6480
     499     -81.7359     102.6398
     500     -73.4062      78.8797
     501     -72.1752     102.2064
     502     -76.5702     101.2540
     503     -78.8860     104.2295
     504     -75.0686      98.7672
     505     -73.7211      94.1534
     506     -91.6233     110.1311
     507     -71.0368      97.8796
     508     -65.8030      81.6139
     509     -77.2801      98.4551
     510     -73.3913     109.5448
     511     -79.9087     105.9956
     512     -74.2395     102.9079
     513     -73.8193      98.2802
     514     -84.6025     107.3645
     515     -66.4711     106.5979
     516     -73.9101     104.4495
     517     -80.1138      97.1441
     518     -74.6574      98.3349
     519     -82.8824     108.5522
     520     -78.7617     102.0006
     521     -76.9048     110.6978
     522     -83.2546     111.9089
     523     -75.7731     106.7998
     524     -71.9731      93.2534
     525     -79.6511      89.9864
     526     -76.4563     106.9544
     527     -78.7519     129.3496
     528     -73.8670     116.5732
     529     -54.7515     103.9871
     530     -74.4617     101.9046
     531     -86.8391     119.5501
     532     -68.1929     110.8672
     533     -68.8184     112.2844
     534     -72.8800     107.6637
     535     -70.2386     108.6206
     536     -67.9743     106.8517
     537     -79.4395     104.2569
     538     -72.1946     104.5621
     539     -76.6009     106.2722
     540     -72.2065     114.3992
     541     -68.1619     104.4816
     542     -72.9143     103.0219
     543     -68.8851     102.7217
     544     -79.0088     113.9546
     545     -70.9550     101.5644
     546     -81.1976     114.1075
     547     -78.7692     108.3440
     548     -76.2926     107.7080
     549     -76.3655     123.6907
     550     -69.1351     116.8825
     551     -75.4375     108.5691
     552     -58.8959     109.1334
     553     -62.9268     108.3445
     554     -82.9415     107.2418
     555     -74.2568      90.8308
     556     -84.5800     117.8570
     557     -68.9983      99.1572
     558     -72.7215      97.7860
     559     -94.0122     115.2553
     560     -72.8946     109.9819
     561     -71.0660     110.4375
     562     -62.9604     102.6892
     563     -73.4498     109.3134
     564     -78.7087     113.1158
     565     -78.6636     105.7798
     566     -79.7286     109.8966
     567     -74.3308     115.4663
     568     -87.5519      96.8866
     569     -79.2343     110.6740
     570     -76.0141     103.9242
     571     -80.4214     117.3942
     572     -84.0726     121.4730
     573     -86.3229     108.9069
     574     -77.2468     107.4490
     575     -79.2078     117.7927
     576     -73.9105     111.3724
     577     -61.8005     102.4274
     578     -74.2666     109.9638
     579     -71.1837     102.9703
     580     -74.8507     110.3068
     581     -79.5374      92.9862
     582     -86.4026     123.8083
     583     -80.4715     109.9326
     584     -82.7773      96.1258
     585     -81.8003     102.3146
     586     -64.7749      89.9448
     587     -73.1168     111.6734
     588     -77.4330     101.2713
     589     -73.5851     104.1650
     590     -77.0776      99.2146
     591     -76.9359     109.0654
     592     -69.8514      96.7774
     593     -76.6197     106.7810
     594     -73.2331      94.6322
     595     -80.4976     113.7099
     596     -58.7956      98.1240
     597     -76.1403     114.6750
     598     -70.4721      85.3892
     599     -77.5283     111.9601
     600     -71.2254     102.0663
     601     -74.8108     105.1650
     602     -68.2869      99.3322
     603     -68.3560     109.1661
     604     -81.4753     110.3883
     605     -73.7580      94.9920
     606     -64.1340      97.9069
     607     -66.2310     113.9000
     608     -61.4076     108.9879
     609     -77.2007     107.5808
     610     -72.7889     110.0019
     611     -75.1364     107.6159
     612     -72.0790     114.4000
     613     -69.4301      94.4782
     614     -77.1786     110.8829
     615     -73.0844     105.1681
     616     -72.1038     107.4627
     617     -71.9274     112.7025
     618     -74.9943     100.9735
     619     -78.5923     112.9242
     620     -67.5516     110.1154
     621     -62.7923     100.4385
     622     -81.2041     111.5760
     623     -68.3016     119.8823
     624     -63.1964      99.3519
     625     -72.7303     105.4410
     626     -77.8048     101.9583
     627     -68.6187      95.1060
     628     -68.2101     101.6600
     629     -72.3493     107.0162
     630     -75.2077     108.1122
     631     -64.6756     109.7269
     632     -75.8133     115.1878
     633     -76.4965     117.2530
     634     -73.3349     101.1164
     635     -78.0336     115.1466
     636     -66.0509      92.9005
     637     -76.6340     108.8977
     638     -80.3510      98.2221
     639     -82.9477     102.5135
     640     -65.7522      93.7519
     641     -70.6550      86.1421
     642     -56.4918      92.2347
     643     -62.8431     103.3692
     644     -71.4500     107.4604
     645     -64.9978     104.9830
     646     -77.3458     115.8087
     647     -69.8618     105.7854
     648     -73.9469     103.2702
     649     -68.5396     104.1435
     650     -68.9864     109.5783
     651     -87.7137      89.4528
     652     -62.7513     102.5592
     653     -76.0525     121.1645
     654     -72.4165     114.7318
     655     -72.9597     103.9722
     656     -70.8180     105.4761
     657     -71.0481     116.2661
     658     -67.9574     105.2551
     659     -71.1669     104.2169
     660     -76.0374     103.9892
     661     -81.9768      98.6416
     662     -68.8706     108.4378
     663     -71.2389     101.4254
     664     -72.4296     117.4428
     665     -77.8912     103.4928
     666     -68.4897     105.2133
     667     -77.7236     111.5350
     668     -58.6704     107.6232
     669     -61.3102     113.9546
     670     -71.5023     115.3541
     671     -71.5956     109.3712
     672     -78.8949     113.2941
     673     -73.8860     114.6084
     674     -75.9091     114.2598
     675     -71.3432     103.0773
     676     -76.6017     115.8964
     677     -75.8671      97.0515
     678     -78.5798     134.8267
     679     -74.9764     114.9793
     680     -68.3649     103.0265
     681     -77.3633     115.3693
     682     -75.9234     114.7529
     683     -68.3055     110.2351
     684     -80.7236     101.3403
     685     -75.8916     118.3764
     686     -60.4466      97.7603
     687     -70.9572     119.2650
     688     -67.6009     105.9841
     689     -80.4295     114.8459
     690     -66.4256     111.7257
     691     -64.4515     101.7295
     692     -86.1992     112.2238
     693     -88.0573     104.3304
     694     -67.6768     110.3163
     695     -71.8018     104.3587
     696     -64.6066      94.8481
     697     -83.7281     107.0536
     698     -62.0591     102.5724
     699     -77.0583     108.9636
     700     -68.2580      92.8278
     701     -68.5051     108.3661
     702     -68.0227     111.7580
     703     -73.1636     109.2320
     704     -71.6492     109.2775
     705     -66.8398     102.0720
     706     -75.5478     126.2308
     707     -70.5193      96.9724
     708     -71.4747     113.9738
     709     -66.3898      96.4645
     710     -69.2034     107.3544
     711     -77.3633     107.3890
     712     -72.7653      99.8392
     713     -70.7032     108.2762
     714     -66.0022      99.1859
     715     -73.5803     114.6660
     716     -63.3205      87.2512
     717     -67.7695      94.0592
     718     -77.9377     106.5763
     719     -73.6816      98.5376
     720     -74.0076      94.9134
     721     -76.7099     102.3773
     722     -72.1770     111.5123
     723     -67.6164     105.9786
     724     -74.4889     104.4004
     725     -75.2239     104.1366
     726     -80.1680     111.6245
     727     -80.5890     108.9865
     728     -69.0898     106.8437
     729     -66.4330     110.4521
     730     -68.6389     107.9690
     731     -59.6710      97.6411
     732     -81.6917      98.1970
     733     -74.2976     115.7860
     734     -66.9542      95.0872
     735     -69.9921      98.5479
     736     -71.7419     109.2948
