#Frame            RoG      RoG-cut
      77      17.9086      16.6792
      78      17.8878      16.7252
      79      18.0061      16.7260
      80      17.9419      16.6391
      81      17.7324      16.4666
      82      17.5919      16.3894
      83      18.0293      16.7003
      84      17.7404      16.4213
      85      17.6285      16.3853
      86      17.7195      16.5021
      87      17.5664      16.2020
      88      17.9113      16.4439
      89      18.3996      17.0185
      90      18.1611      16.7793
      91      17.8059      16.5691
      92      18.2067      16.9197
      93      18.2204      16.9922
      94      18.6736      17.0887
      95      18.0929      16.6005
      96      18.0362      16.5180
      97      18.2835      16.6376
      98      18.1971      16.6171
      99      18.3117      16.5020
     100      18.8571      16.8134
     101      18.0941      16.5326
     102      18.3314      16.8184
     103      18.2029      16.7592
     104      18.0596      16.6789
     105      17.7056      16.6162
     106      17.7937      16.6195
     107      18.2413      16.5109
     108      17.9834      16.3613
     109      18.1107      16.3554
     110      17.8228      16.1611
     111      18.1186      16.5858
     112      18.4296      16.6981
     113      18.7306      16.7034
     114      18.0269      16.6670
     115      18.3154      16.7162
     116      17.8947      16.4603
     117      18.3966      16.7896
     118      18.2575      16.7518
     119      17.8654      16.4666
     120      18.1004      16.6895
     121      18.2961      16.9212
     122      18.1544      16.8512
     123      18.0278      16.6151
     124      18.2499      16.8425
     125      18.0532      16.8926
     126      18.2180      16.9425
     127      18.3316      17.0461
     128      18.5164      16.9680
     129      18.4982      17.0428
     130      18.5926      17.2644
     131      18.3966      16.8666
     132      18.5605      17.2790
     133      18.2958      16.8426
     134      18.0902      16.8288
     135      18.2898      16.9255
     136      18.5677      16.9554
     137      18.3715      17.0014
     138      18.7693      17.2707
     139      18.0554      16.7047
     140      18.1472      16.8410
     141      18.2023      16.9622
     142      18.5798      17.3445
     143      18.3521      16.9751
     144      18.5676      17.1647
     145      18.3888      17.0511
     146      18.7143      17.3304
     147      18.1937      16.9793
     148      18.2906      17.1292
     149      18.0224      16.7972
     150      18.5721      17.1840
     151      18.6471      17.1973
     152      18.9248      17.2759
     153      18.5004      16.9600
     154      18.3489      16.9000
     155      18.5720      17.0502
     156      18.3818      16.8885
     157      18.4622      16.9622
     158      18.3185      16.9430
     159      18.5048      17.1547
     160      18.5535      16.9174
     161      18.5054      16.9621
     162      18.3496      16.8070
     163      18.3326      16.8528
     164      18.4862      17.0068
     165      18.2645      16.7601
     166      18.4882      16.8705
     167      18.2815      16.8556
     168      18.3833      16.9557
     169      18.5155      17.0707
     170      18.4410      17.0812
     171      18.4740      17.0885
     172      18.7153      17.2529
     173      18.4470      17.0106
     174      18.0750      16.8385
     175      18.1750      16.8056
     176      18.1766      16.9348
     177      18.0778      16.6669
     178      18.0417      16.8583
     179      18.1059      16.8800
     180      18.3036      17.0268
     181      18.0162      16.7187
     182      18.1632      16.8959
     183      18.3556      17.1109
     184      18.2096      17.0760
     185      17.9097      16.5489
     186      18.1686      16.7707
     187      18.2621      16.6845
     188      18.3702      16.8990
     189      18.5031      16.8728
     190      18.5136      16.9604
     191      18.6266      17.0289
     192      18.6349      16.7786
     193      19.0178      17.1475
     194      19.1558      17.1735
     195      18.6197      16.7377
     196      19.0481      17.0267
     197      19.1653      17.1019
     198      18.9553      16.8824
     199      18.8492      16.8722
     200      18.5480      16.7348
     201      18.5957      16.7986
     202      18.5533      16.8767
     203      18.9911      17.0584
     204      18.2287      16.8013
     205      18.3256      16.8569
     206      18.2178      16.8116
     207      18.3449      16.9344
     208      18.2265      16.7379
     209      18.1667      16.6672
     210      18.4304      16.7618
     211      18.9016      17.1099
     212      18.6999      16.9856
     213      18.0326      16.4951
     214      18.1305      16.5994
     215      18.3593      16.7040
     216      18.5760      16.7999
     217      18.2054      16.5918
     218      18.3273      16.6295
     219      18.3178      16.6608
     220      18.7305      16.9530
     221      18.5812      16.8561
     222      18.6779      16.8591
     223      18.5929      16.8236
     224      18.5709      16.6586
     225      18.7143      16.8501
     226      18.3717      16.5676
     227      18.4714      16.7587
     228      18.8102      16.8888
     229      18.5203      16.8611
     230      18.4115      16.6825
     231      18.1760      16.7981
     232      18.2003      16.6021
     233      18.2988      16.8497
     234      18.4892      16.8166
     235      18.2897      16.7254
     236      18.3876      16.7208
     237      18.7315      17.1324
     238      18.5448      16.9538
     239      18.6354      17.1675
     240      18.2108      16.7267
     241      18.0823      16.6878
     242      18.1926      16.8690
     243      18.0545      16.7532
     244      18.0063      16.6764
     245      18.1390      16.7174
     246      17.7503      16.4675
     247      17.9090      16.5914
     248      18.1280      16.7686
     249      18.0759      16.8372
     250      17.6983      16.5321
     251      17.8160      16.6514
     252      18.2026      16.9672
     253      18.0722      16.8407
     254      18.2327      16.9009
     255      18.1314      16.7604
     256      17.9456      16.5955
     257      17.6057      16.4321
     258      17.9269      16.6836
     259      18.1817      16.8465
     260      18.0198      16.6754
     261      17.8542      16.6504
     262      18.2365      16.7542
     263      18.5508      17.0038
     264      18.2705      16.9793
     265      18.4092      17.1226
     266      18.7484      17.3616
     267      18.4867      17.1710
     268      18.3321      16.8928
     269      18.1269      16.7979
     270      18.3519      16.8823
     271      18.5444      17.0783
     272      18.2711      16.8768
     273      18.3905      16.9540
     274      18.2640      16.9874
     275      18.4296      17.0437
     276      18.2103      16.9494
     277      18.1713      16.8850
     278      18.0897      16.8640
     279      17.8109      16.5791
     280      18.4459      16.8668
     281      18.4062      16.6837
     282      18.5765      16.9490
     283      18.7290      17.0030
     284      18.0314      16.7160
     285      18.2075      16.8124
     286      18.6877      17.0256
     287      18.4899      17.0846
     288      18.2158      16.7916
     289      18.3333      17.0107
     290      18.3793      16.8342
     291      18.3633      16.9370
     292      18.2128      16.7333
     293      18.2967      16.8077
     294      18.4680      16.8973
     295      18.4319      16.7898
     296      18.3762      16.7174
     297      18.4088      16.8467
     298      18.6239      17.1125
     299      18.2755      16.7366
     300      18.8643      17.3027
     301      18.2691      16.6048
     302      18.5732      16.9428
     303      19.0685      17.2882
     304      18.7054      17.1579
     305      18.2776      16.7872
     306      18.6151      17.1538
     307      18.2164      16.8140
     308      18.5040      17.1837
     309      18.2035      16.9386
     310      18.4971      17.1012
     311      18.5845      17.1008
     312      18.6841      17.1947
     313      18.3456      16.8724
     314      18.1551      16.8313
     315      18.2719      16.7566
     316      18.3525      16.9441
     317      18.2547      16.8177
     318      18.3489      16.8128
     319      18.2465      16.7941
     320      18.7762      17.1170
     321      18.4255      16.9616
     322      18.7178      17.1367
     323      18.7860      17.1395
     324      18.1978      16.7424
     325      18.3437      16.7517
     326      19.0678      17.2280
     327      18.5848      16.8794
     328      18.8675      16.9619
     329      18.7555      16.9486
     330      18.5694      16.7842
     331      18.5250      16.7436
     332      18.7229      17.1514
     333      18.6968      17.1716
     334      18.5683      17.0679
     335      18.0675      16.7623
     336      18.5363      17.1362
     337      18.2289      16.8958
     338      18.0416      16.8021
     339      18.1183      16.9954
     340      18.0460      16.8631
     341      17.8335      16.7036
     342      17.5021      16.4218
     343      17.3412      16.1946
     344      17.6026      16.5165
     345      17.6860      16.6282
     346      17.6578      16.5532
     347      17.4560      16.3827
     348      17.3493      16.2704
     349      17.6942      16.6673
     350      17.4513      16.4443
     351      17.4970      16.4721
     352      17.4368      16.4755
     353      17.4421      16.4900
     354      17.3545      16.4329
     355      17.5113      16.4130
     356      17.6378      16.6068
     357      17.6143      16.5549
     358      17.4941      16.4716
     359      17.5194      16.4767
     360      17.6949      16.6474
     361      17.5364      16.4522
     362      17.6900      16.6607
     363      17.6458      16.6327
     364      17.6053      16.5192
     365      17.3419      16.2742
     366      18.1067      16.9575
     367      17.8339      16.8477
     368      17.7793      16.6856
     369      17.9470      16.8163
     370      17.9080      16.7264
     371      17.6825      16.5926
     372      18.1931      16.8827
     373      18.1388      16.9107
     374      18.3612      17.0260
     375      18.5443      17.1484
     376      18.1900      16.9361
     377      18.2918      16.9850
     378      18.2728      16.9297
     379      18.2315      16.8918
     380      18.4291      16.9100
     381      18.7488      17.2061
     382      18.4196      17.1041
     383      18.3535      16.9014
     384      18.6706      17.2673
     385      18.7645      17.4416
     386      18.3101      16.9858
     387      17.8996      16.6998
     388      18.1578      16.8460
     389      18.1088      16.7880
     390      18.6103      17.1469
     391      18.2540      16.8703
     392      18.4960      17.0869
     393      18.2838      17.0324
     394      18.3939      16.9782
     395      18.4164      17.0100
     396      18.5064      17.1384
     397      18.3808      17.0326
     398      18.0836      16.8335
     399      18.4055      17.0554
     400      18.5828      17.1361
     401      18.2592      16.8545
     402      17.8333      16.5435
     403      17.9992      16.6347
     404      18.1998      16.9306
     405      17.9470      16.6484
     406      18.1242      16.7960
     407      18.0841      16.7857
     408      17.8490      16.5200
     409      18.1850      16.9138
     410      18.0498      16.7619
     411      18.4134      17.0583
     412      18.2919      16.9886
     413      17.9303      16.6017
     414      17.9340      16.6707
     415      18.1900      16.6786
     416      18.2776      16.7806
     417      18.6760      17.1983
     418      18.2916      16.8510
     419      18.0433      16.6952
     420      18.5442      17.0402
     421      18.2534      16.8764
     422      17.9454      16.5378
     423      18.0092      16.7029
     424      18.0221      16.6371
     425      18.7198      17.0688
     426      18.8737      17.1526
     427      18.6239      17.0911
     428      18.4377      16.8820
     429      18.8075      17.2717
     430      18.7032      16.9303
     431      17.9978      16.6322
     432      18.5731      17.0139
     433      18.4784      16.8736
     434      18.0901      16.6167
     435      17.9886      16.6187
     436      18.1026      16.6191
     437      17.9547      16.7667
     438      18.0207      16.5137
     439      17.9155      16.5058
     440      18.0099      16.6376
     441      18.0544      16.6850
     442      18.2734      16.7963
     443      18.2676      16.8228
     444      17.9151      16.5972
     445      18.0423      16.7424
     446      17.8134      16.5468
     447      18.0311      16.6738
     448      18.1012      16.8202
     449      18.2668      16.9694
     450      17.9727      16.8597
     451      18.3200      17.1688
     452      17.8379      16.7436
     453      18.0048      16.9336
     454      17.9068      16.7503
     455      18.0317      16.8235
     456      17.9632      16.7897
     457      18.2378      16.9251
     458      18.2314      16.9091
     459      17.7807      16.6283
     460      17.8710      16.7826
     461      17.7742      16.6734
     462      17.4989      16.3875
     463      17.6546      16.5153
     464      18.0355      16.7443
     465      17.8427      16.6964
     466      17.8694      16.6695
     467      17.6339      16.5455
     468      17.3722      16.4991
     469      17.4610      16.5838
     470      17.1625      16.2904
     471      17.2565      16.3304
     472      17.8461      16.8796
     473      17.7198      16.6771
     474      17.8182      16.7030
     475      17.9214      16.5379
     476      18.0398      16.6159
     477      17.9256      16.6076
     478      17.8195      16.5815
     479      17.7804      16.5116
     480      17.7561      16.4929
     481      17.6204      16.5665
     482      17.6683      16.6538
     483      17.6852      16.7710
     484      17.7267      16.5719
     485      17.7279      16.6781
     486      17.8691      16.6612
     487      18.3290      17.0922
     488      17.9792      16.5812
     489      17.9855      16.7970
     490      18.0920      16.8845
     491      17.8845      16.7804
     492      17.7077      16.4887
     493      17.9203      16.7187
     494      17.8102      16.5995
     495      17.8225      16.8425
     496      17.8293      16.8471
     497      17.6851      16.6820
     498      17.8144      16.6760
     499      17.5059      16.4650
     500      17.4268      16.3738
     501      17.7504      16.7117
     502      17.7763      16.7266
     503      17.7609      16.5881
     504      17.5419      16.4254
     505      17.8092      16.8575
     506      17.6387      16.5405
     507      17.5320      16.5118
     508      17.2681      16.3919
     509      17.6860      16.6118
     510      17.9204      16.8708
     511      18.0349      16.8062
     512      17.8635      16.6064
     513      18.1626      16.8317
     514      17.5515      16.5354
     515      17.9071      16.6951
     516      17.9802      16.7151
     517      18.0934      16.9261
     518      17.9566      16.8642
     519      17.7270      16.7033
     520      17.8160      16.5931
     521      17.8915      16.7773
     522      17.8066      16.5047
     523      17.5561      16.3192
     524      17.5750      16.4124
     525      17.7983      16.5547
     526      17.8317      16.5829
     527      17.4533      16.1584
     528      17.5869      16.3657
     529      17.5584      16.3756
     530      17.3704      16.3035
     531      17.4238      16.3990
     532      17.5512      16.5755
     533      17.7038      16.6023
     534      17.7318      16.6180
     535      17.6164      16.4162
     536      17.6482      16.5505
     537      17.6875      16.5337
     538      17.6835      16.5448
     539      17.6662      16.3896
     540      17.9870      16.6117
     541      17.8570      16.6792
     542      18.0540      16.6055
     543      18.3486      16.8334
     544      18.2450      16.6562
     545      18.1162      16.7072
     546      18.1409      16.7238
     547      17.9139      16.6675
     548      18.0134      16.6481
     549      18.0841      16.7519
     550      18.1123      16.6427
     551      18.0400      16.5884
     552      18.3703      16.7787
     553      17.9945      16.7377
     554      17.8275      16.6318
     555      17.7701      16.6075
     556      17.7988      16.4791
     557      17.6549      16.6385
     558      18.2229      16.9592
     559      18.0157      16.6528
     560      17.9539      16.6556
     561      17.7957      16.6303
     562      18.0968      16.8988
     563      17.9672      16.6595
     564      17.9067      16.7118
     565      18.0579      16.9306
     566      17.9598      16.8471
     567      17.7891      16.5826
     568      17.7855      16.5543
     569      17.9624      16.7714
     570      17.8777      16.7188
     571      18.1011      16.8228
     572      17.7545      16.5872
     573      17.8224      16.7777
     574      17.9172      16.9049
     575      17.9095      16.7411
     576      17.9854      16.6613
     577      18.0310      16.8210
     578      17.7047      16.6248
     579      18.0356      16.9392
     580      17.7131      16.6265
     581      17.8127      16.7269
     582      17.9837      16.7872
     583      18.0526      16.9205
     584      17.9466      16.8616
     585      17.6704      16.5894
     586      17.8658      16.7137
     587      17.6550      16.7363
     588      17.5169      16.5318
     589      17.8606      16.9451
     590      17.8051      16.7681
     591      17.5366      16.5793
     592      17.5017      16.4461
     593      17.7694      16.7964
     594      17.6715      16.6527
     595      17.5508      16.6473
     596      17.9512      16.8888
     597      17.6022      16.5731
     598      17.6224      16.5095
     599      17.7992      16.7326
     600      17.8227      16.6638
     601      17.7573      16.6325
     602      17.6752      16.7194
     603      17.7165      16.7090
     604      17.6541      16.6215
     605      17.7446      16.8280
     606      17.6229      16.7000
     607      18.0897      17.0331
     608      17.4493      16.4272
     609      17.5244      16.5538
     610      17.8111      16.6507
     611      17.6046      16.6096
     612      17.6196      16.5506
     613      17.2766      16.4026
     614      17.4242      16.4533
     615      17.2715      16.3381
     616      17.6372      16.6426
     617      17.3192      16.3357
     618      17.3584      16.3816
     619      17.3739      16.3733
     620      17.4167      16.3575
     621      17.5267      16.4219
     622      17.5702      16.5169
     623      17.2404      16.3241
     624      17.3752      16.3509
     625      17.3343      16.3709
     626      17.6369      16.5835
     627      17.5843      16.5934
     628      17.5212      16.4856
     629      17.4363      16.4244
     630      17.2975      16.4564
     631      17.4863      16.5206
     632      17.5377      16.5318
     633      17.4993      16.5636
     634      17.6601      16.6707
     635      17.7117      16.5826
     636      17.6945      16.5450
     637      17.9410      16.8150
     638      17.6766      16.6214
     639      17.9504      16.7229
     640      17.7616      16.5592
     641      17.3597      16.2903
     642      17.5931      16.4936
     643      17.5509      16.4524
     644      17.4096      16.3438
     645      17.4515      16.2973
     646      17.9021      16.7486
     647      17.8622      16.6617
     648      18.0508      16.6217
     649      18.1145      16.6634
     650      17.8001      16.4549
     651      18.0433      16.5909
     652      18.0446      16.6471
     653      18.5137      16.7380
     654      18.2587      16.5941
     655      18.2952      16.5295
     656      18.2964      16.5872
     657      18.6244      16.7542
     658      18.1943      16.5703
     659      17.8883      16.4580
     660      18.3526      16.7080
     661      18.1687      16.7086
     662      18.1097      16.3861
     663      18.3370      16.6157
     664      18.4899      16.5711
     665      18.3142      16.6936
     666      18.3249      16.7419
     667      18.5232      16.8489
     668      18.4699      16.6382
     669      18.5532      16.8264
     670      18.4050      16.7681
     671      18.1523      16.7538
     672      18.0970      16.7817
     673      18.2719      16.7156
     674      18.2027      16.5425
     675      18.2762      16.6601
     676      18.0547      16.6861
     677      17.9295      16.5693
     678      18.1314      16.8899
     679      17.8207      16.4492
     680      18.3023      16.8550
     681      18.0533      16.5821
     682      18.2302      16.6423
     683      18.0972      16.6492
     684      18.1360      16.6201
     685      17.6232      16.4003
     686      18.1384      16.7156
     687      17.8492      16.5756
     688      17.9091      16.6637
     689      17.6967      16.5271
     690      17.9222      16.7251
     691      17.8445      16.5457
     692      18.2587      16.8275
     693      17.9629      16.7012
     694      17.7593      16.4689
     695      17.7324      16.5475
     696      17.9435      16.6401
     697      17.9191      16.5895
     698      17.9414      16.7565
     699      18.0343      16.5763
     700      17.8242      16.6792
     701      17.8768      16.6234
     702      18.4084      17.0408
     703      18.3600      16.9505
     704      18.0059      16.8282
     705      18.1594      16.9510
     706      18.3068      17.0240
     707      18.1209      16.7671
     708      17.7647      16.5703
     709      17.9973      16.6565
     710      17.8871      16.5431
     711      18.0164      16.4804
     712      17.9614      16.6539
     713      18.0525      16.7928
     714      17.8445      16.5806
     715      18.1280      16.6853
     716      18.1488      16.8283
     717      18.2127      16.6270
     718      17.9042      16.6657
     719      17.6404      16.2924
     720      17.9593      16.6458
     721      18.1015      16.8263
     722      18.0563      16.6965
     723      18.1447      16.7380
     724      17.9363      16.7731
     725      18.3553      17.0568
     726      18.3176      16.9736
     727      18.0053      16.7098
     728      17.8077      16.6688
     729      17.6475      16.4941
     730      18.0599      16.6810
     731      17.7398      16.4329
     732      17.9247      16.6896
     733      17.7715      16.4719
     734      17.7704      16.5339
     735      17.6395      16.4821
     736      18.0027      16.6361
     737      18.0212      16.6768
     738      18.0163      16.7557
     739      18.0878      16.6954
     740      18.3686      16.8630
     741      17.9554      16.5927
     742      17.8125      16.5343
     743      18.0586      16.7819
     744      17.8492      16.6466
     745      17.7255      16.4678
     746      17.7628      16.5429
     747      17.9486      16.7371
     748      17.8233      16.5119
     749      18.1119      16.7453
     750      18.2236      16.8679
     751      18.0268      16.6616
     752      18.3537      16.9044
     753      18.2087      16.8325
     754      18.1362      16.7746
     755      18.4211      16.9225
     756      18.1388      16.7072
     757      18.6379      17.1864
     758      18.6157      17.2630
     759      18.0516      16.7068
     760      18.2903      16.9170
     761      18.3905      17.1085
     762      18.2481      16.7705
     763      18.2210      16.8625
     764      18.5012      16.9457
     765      18.5571      17.0805
     766      18.5128      17.0691
     767      18.4846      17.0648
     768      18.0587      16.7389
     769      18.1080      16.7604
     770      18.5961      17.0684
     771      18.2584      16.7791
     772      18.0294      16.5209
     773      18.4514      16.9200
     774      18.3066      16.6554
     775      18.2115      16.6610
     776      18.3309      16.8089
     777      18.3744      16.7873
     778      18.2999      16.8348
     779      18.2428      16.9199
     780      18.3461      16.8919
     781      18.2418      16.7836
     782      18.0078      16.5639
     783      18.1007      16.5644
     784      18.1970      16.6111
     785      18.0491      16.5897
     786      18.6091      16.9014
     787      18.2362      16.5777
     788      18.2773      16.6688
     789      18.3311      16.7218
     790      18.3157      16.7161
     791      18.1652      16.5100
     792      18.1166      16.3845
     793      18.6337      16.7192
     794      18.4245      16.6847
     795      18.5566      16.9035
     796      18.7333      17.0050
     797      18.7669      16.8891
     798      18.2326      16.5118
     799      18.6790      16.5974
     800      19.0882      16.9769
     801      18.3939      16.5735
     802      18.1237      16.5622
     803      18.2875      16.8080
     804      18.2739      16.8126
     805      18.0012      16.6017
     806      18.0523      16.7228
     807      18.2108      16.7846
     808      18.1732      16.6594
     809      18.1233      16.6068
     810      18.3350      16.7071
     811      18.3306      16.7291
     812      18.0500      16.5643
     813      18.2445      16.6942
     814      17.9757      16.5172
     815      18.1725      16.6361
     816      18.1551      16.6282
     817      18.3408      16.8021
     818      18.6404      17.0758
     819      18.1307      16.7267
     820      17.9854      16.6824
     821      18.4399      16.7648
     822      18.3482      16.6498
     823      19.0975      16.7794
     824      18.5460      16.7390
     825      18.1933      16.5440
     826      18.1503      16.5432
     827      17.8289      16.3318
     828      17.9662      16.5158
     829      18.1720      16.4790
     830      18.1075      16.4401
     831      18.0629      16.5914
     832      17.8845      16.5957
     833      17.5796      16.3531
     834      17.7061      16.6108
     835      17.9920      16.7413
     836      17.8461      16.5331
     837      17.9342      16.5823
     838      17.8914      16.5601
     839      18.1003      16.7519
     840      18.2891      16.8654
     841      17.9682      16.7193
     842      18.2489      16.8822
     843      18.3472      16.9999
     844      17.9975      16.7603
     845      17.8827      16.8208
     846      18.2597      16.9784
     847      18.0649      16.7835
     848      18.0644      16.8087
     849      18.1679      16.9089
     850      17.9934      16.7509
     851      18.1275      16.9400
     852      18.3346      17.0850
     853      18.1757      16.8685
     854      18.1916      16.8005
     855      18.4313      16.7822
     856      18.2873      16.8059
     857      17.7855      16.6001
     858      18.5894      17.2170
     859      18.4082      16.9660
     860      18.0451      16.5484
     861      18.3149      16.7360
     862      18.4226      16.9741
     863      18.0257      16.6729
     864      18.1767      16.7078
     865      18.4171      16.9051
     866      18.6054      17.0010
     867      18.6391      16.9481
     868      18.5777      16.9214
     869      18.3068      16.7201
     870      18.5153      16.9231
     871      18.6537      17.1159
     872      18.3285      16.8688
     873      18.0605      16.7866
     874      18.1226      16.8014
     875      18.2442      16.7607
     876      17.9068      16.3880
     877      18.5427      16.6480
     878      18.0102      16.5551
     879      18.0990      16.6619
     880      18.1647      16.6750
     881      18.0942      16.6707
     882      18.1035      16.7375
     883      18.0549      16.8199
     884      17.8695      16.6353
     885      17.9051      16.6424
     886      17.8806      16.6608
     887      17.4650      16.2812
     888      18.1256      16.8094
     889      17.9302      16.6480
     890      18.1024      16.9014
     891      17.4980      16.3667
     892      17.6083      16.6266
     893      17.7319      16.5863
     894      18.3692      17.0075
     895      18.1543      16.7597
     896      18.2629      16.7852
     897      18.4731      16.9569
     898      18.8868      16.4873
     899      19.0590      16.3880
     900      18.7753      16.4889
     901      18.9141      16.6339
     902      19.1088      16.8235
     903      18.6766      16.7633
     904      18.8968      17.0387
     905      18.3272      16.5920
     906      18.5698      16.8503
     907      17.9745      16.4293
     908      18.2638      16.8571
     909      18.0855      16.7922
     910      17.8510      16.5779
     911      17.6943      16.3984
     912      17.8049      16.4430
     913      17.9647      16.4267
     914      18.0178      16.5076
     915      17.7679      16.3771
     916      17.7088      16.4376
     917      17.8571      16.4535
     918      18.3029      16.6034
     919      18.1826      16.4912
     920      18.1987      16.4291
     921      18.4332      16.6285
     922      18.2352      16.5095
     923      18.1211      16.5626
     924      18.6422      16.8955
     925      18.4757      16.7738
     926      18.2460      16.5923
     927      17.9977      16.5044
     928      18.1370      16.5890
     929      18.1983      16.6660
     930      18.3753      16.6613
     931      18.1619      16.6051
     932      18.0311      16.6972
     933      17.9928      16.3790
     934      18.1695      16.7027
     935      18.1088      16.6997
     936      18.5622      16.6909
     937      17.9926      16.4016
     938      18.1772      16.4258
     939      18.5454      16.6786
     940      18.9457      16.9180
     941      18.0762      16.4937
     942      18.1566      16.7237
     943      18.2258      16.4865
     944      18.3046      16.6507
     945      18.1158      16.5418
     946      18.1181      16.5306
     947      17.6689      16.2218
     948      17.8602      16.3934
     949      18.0829      16.3975
     950      17.8322      16.4679
     951      17.6432      16.3572
     952      17.7490      16.4216
     953      17.8997      16.6653
     954      17.6125      16.3451
     955      17.7415      16.3851
     956      17.9588      16.6072
     957      17.9649      16.5742
     958      17.6274      16.3490
     959      17.9553      16.5708
     960      17.6075      16.3938
     961      17.7826      16.5404
     962      17.7494      16.5374
     963      17.7838      16.4842
     964      18.1857      16.7688
     965      18.2939      16.8283
     966      18.1212      16.7699
     967      17.8015      16.5539
     968      18.0426      16.6844
     969      18.0902      16.6706
     970      18.2066      16.8010
     971      18.1986      16.7437
     972      17.9106      16.5088
     973      18.3828      16.8595
     974      18.0230      16.6158
     975      17.8661      16.5164
     976      18.0242      16.5798
     977      17.8333      16.4913
     978      17.9685      16.5458
     979      17.9849      16.5469
     980      18.2572      16.7801
     981      18.3774      16.9298
     982      17.9126      16.6499
     983      18.2381      16.9351
     984      18.1193      16.8569
     985      18.0343      16.7351
     986      18.3707      16.9488
     987      18.1068      16.8372
     988      18.0002      16.6161
     989      17.7296      16.4688
     990      17.5558      16.3288
     991      18.2386      16.9069
     992      18.2171      16.8579
     993      17.9148      16.5704
     994      17.9784      16.5997
     995      17.9821      16.6127
     996      18.1214      16.5672
     997      17.9681      16.5740
     998      17.8610      16.4669
     999      17.9358      16.4605
    1000      18.1822      16.7649
